date,store,total,masked,incorrectlymasked,unmasked,treated,host_1,host_2
03may2021,1,234,213,5,16,0,,
03may2021,2,132,127,3,2,1,1,4
03may2021,3,379,359,2,18,0,,
03may2021,4,385,321,18,46,0,,
03may2021,5,174,172,1,1,1,11,40
03may2021,6,61,54,0,7,0,,
03may2021,7,54,52,0,2,1,6,28
03may2021,8,419,396,12,11,0,,
03may2021,9,149,146,1,2,1,9,7
04may2021,1,225,210,6,9,0,,
04may2021,2,73,71,1,1,1,9,25
04may2021,3,375,369,3,3,1,10,38
04may2021,4,321,248,29,44,0,,
04may2021,5,129,124,2,3,1,6,16
04may2021,6,54,51,0,3,1,3,18
04may2021,7,49,35,1,13,0,,
04may2021,8,349,321,15,13,0,,
04may2021,9,141,138,2,1,1,11,34
05may2021,1,234,233,1,0,1,6,29
05may2021,2,95,92,1,2,1,9,25
05may2021,3,251,240,5,6,1,5,22
05may2021,4,181,154,10,17,0,,
05may2021,5,121,111,2,8,0,,
05may2021,6,61,55,1,5,0,,
05may2021,7,52,50,1,1,1,11,30
05may2021,8,315,290,15,10,0,,
05may2021,9,121,118,2,1,1,3,21
06may2021,1,184,181,0,3,1,3,22
06may2021,2,95,89,1,5,0,,
06may2021,3,258,256,0,2,1,1,18
06may2021,4,220,207,9,4,1,7,31
06may2021,5,116,103,4,9,0,,
06may2021,6,65,60,1,4,1,11,25
06may2021,7,45,37,1,7,1,8,33
06may2021,8,304,269,10,25,0,,
06may2021,9,113,93,8,12,0,,
07may2021,1,240,237,0,3,1,3,13
07may2021,2,103,99,0,4,1,1,16
07may2021,3,323,311,3,9,0,,
07may2021,4,289,267,9,13,1,5,26
07may2021,5,148,135,2,11,0,,
07may2021,6,60,56,0,4,1,9,36
07may2021,7,37,27,4,6,0,,
07may2021,8,359,320,15,24,0,,
07may2021,9,157,153,1,3,1,6,30
10may2021,1,198,194,0,4,1,2,19
10may2021,2,91,91,0,0,1,9,7
10may2021,3,423,396,14,13,0,,
10may2021,4,209,193,11,5,1,11,32
10may2021,5,157,152,0,5,1,1,17
10may2021,6,61,60,1,0,1,3,19
10may2021,7,69,59,1,9,0,,
10may2021,8,465,439,13,13,0,,
10may2021,9,106,101,3,2,0,,
11may2021,1,202,194,1,7,0,,
11may2021,2,101,91,1,9,1,8,34
11may2021,3,250,227,11,12,0,,
11may2021,4,252,202,15,35,0,,
11may2021,5,19,11,2,6,0,,
11may2021,6,79,74,4,1,1,13,42
11may2021,7,43,35,1,7,0,,
11may2021,8,408,382,12,14,1,11,39
11may2021,9,134,128,3,3,1,10,37
12may2021,1,316,294,2,20,0,,
12may2021,2,147,137,0,10,1,8,23
12may2021,3,263,237,9,17,0,,
12may2021,4,261,244,12,5,1,11,41
12may2021,5,147,141,4,2,1,6,27
12may2021,6,59,56,0,3,0,,
12may2021,7,56,52,0,4,1,9,35
12may2021,8,483,427,13,43,0,,
12may2021,9,161,151,1,9,0,,
14may2021,1,249,231,4,14,0,,
14may2021,2,111,103,3,5,1,10,15
14may2021,3,237,228,2,7,1,5,25
14may2021,4,229,217,7,5,1,3,20
14may2021,5,127,119,3,5,1,1,14
14may2021,6,67,59,0,8,0,,
14may2021,7,81,47,2,32,0,,
14may2021,8,426,303,45,78,0,,
14may2021,9,142,141,1,0,1,11,39
18may2021,1,229,208,2,19,0,,
18may2021,2,98,85,2,11,1,5,24
18may2021,3,271,249,4,18,0,,
18may2021,4,269,245,15,9,1,12,32
18may2021,5,149,128,3,18,0,,
18may2021,6,75,70,0,5,0,,
18may2021,7,57,48,4,5,1,8,26
18may2021,8,392,359,15,18,1,1,15
18may2021,9,166,149,4,13,0,,
19may2021,1,169,150,1,18,0,,
19may2021,2,100,96,1,3,1,3,6
19may2021,3,208,198,3,7,1,5,12
19may2021,4,257,209,16,32,0,,
19may2021,5,121,115,1,5,1,4,23
19may2021,6,79,71,2,6,0,,
19may2021,7,51,28,6,17,0,,
19may2021,8,325,291,20,14,1,10,16
19may2021,9,127,124,2,1,1,9,32
20may2021,1,167,163,0,4,1,9,8
20may2021,2,106,90,4,12,0,,
20may2021,3,222,205,3,14,0,,
20may2021,4,277,249,16,12,1,4,23
20may2021,5,147,137,5,5,1,5,12
20may2021,6,82,77,1,4,0,,
20may2021,7,47,26,1,20,0,,
20may2021,8,299,277,11,11,1,3,6
20may2021,9,145,142,3,0,1,10,16
21may2021,1,244,227,1,16,0,,
21may2021,2,101,91,4,6,1,1,16
21may2021,3,292,285,3,4,1,6,9
21may2021,4,303,254,15,34,0,,
21may2021,5,162,156,5,1,1,10,26
21may2021,6,81,71,0,10,0,,
21may2021,7,66,45,4,17,0,,
21may2021,8,387,362,9,16,1,8,32
21may2021,9,174,167,2,5,1,13,18
